AAC,AAC HOLDINGS INC
REGI,RENEWABLE ENER GROUP INC
REI,RING ENERGY INC
REIS,REIS INC
REN,RESOLUTE ENERGY CORP
REPH,RECRO PHARMA INC
RESI,ALTISOURCE RESIDENTIAL
RETA,REATE PHARMACEUTICALS
REV,REVLON INC
REVG,REV GROUP INC
REX,REX AMERICAN RESOURCES
REXR,REXFORD INDUSTRIAL RLTY
RGCO,RGC RES INC
RGEN,REPLIGEN CORP
RGNX,REGENXBIO INC
RGR,STURM RUGER & CO INC
RGS,REGIS CORP
RH,RH
RHP,RYMAN HOSPITALITY PPTYS
RICK,RCI HOSPITALITY HLDGS
RIGL,RIGEL PHARMACEUTICALS
RILY,B. RILEY FINANCIAL INC
RLGT,RADIANT LOGISTICS INC
RLH,RED LION HOTELS CORP
RLI,RLI CORP
RLJ,RLJ LODGING TR
RM,REGIONAL MGMT CORP
RMAX,RE/MAX HOLDINGS INC
RMBS,RAMBUS INC
RMR,RMR GROUP INC
RMTI,ROCKWELL MEDICAL INC
RNET,RIGNET INC
RNG,RINGCENTRAL INC
RNST,RENASANT CORP
RNWK,REALNETWORKS INC
ROCK,GIBRALTAR INDUSTRIES INC
ROG,ROGERS CORP
ROIC,RETAIL OPPORTUNITY INVTS
ROLL,RBC BEARINGS INC
ROSE,ROSEHILL RESOURCES INC
ROX,CASTLE BRANDS INC
RP,REALPAGE INC
RPD,RAPID7 INC
RPT,RAMCO-GERSHENSON PPTYS
RPXC,RPX CORP
RRD,DONNELLEY R R & SONS CO
RRGB,RED ROBIN GOURMET BURGER
RRR,RED ROCKS RESORTS INC
RRTS,ROADRUNNER TRNSN SVCS
RSO,RESOURCE CAPITAL CORP
RST,ROSETTA STONE INC
RSYS,RADISYS CORP
RT,RUBY TUESDAY INC
RTEC,RUDOLPH TECHNOLOGIES INC
RTIX,RTI SURGICAL INC
RTRX,RETROPHIN INC
RUBI,RUBICON PROJ INC
RUN,SUNRUN INC
RUSHA,RUSH ENTERPRISES INC
RUSHB,RUSH ENTERPRISES INC
RUTH,RUTH'S HOSPITALITY GROUP
RVLT,REVOLUTION LIGHTING TECH
RVNC,REVANCE THERAPEUTICS INC
RVSB,RIVERVIEW BANCORP INC
RWT,REDWOOD TRUST INC
RXDX,IGNYTA INC
RXN,REXNORD CORP
RYAM,RAYONIER ADV MATERIALS
RYI,RYERSON HOLDING CORP
SAFM,SANDERSON FARMS INC
SAFT,SAFETY INSURANCE GRP INC
SAGE,SAGE THERAPEUTICS INC
SAH,SONIC AUTOMOTIVE INC
SAIA,SAIA INC
SAIC,SCIENCE APPLICATIONS INT
SALM,SALEM MEDIA GROUP INC
SALT,SCORPIO BULKERS INC
SAM,BOSTON BEER INC
SAMG,SILVERCREST ASSET MNGMT
SANM,SANMINA CORPORATION
SASR,SANDY SPRING BANCORP
SB,SAFE BULKERS INC
SBBP,STRONGBRIDGE BIOPHARMA
SBCF,SEACOAST BANKING CORP FL
SBCP,SUNSHINE BANCORP INC
SBGI,SINCLAIR BROADCAST GROUP
SBOW,SILVERBOW RESOURCES
SBRA,SABRA HEALTH CARE REIT
SBSI,SOUTHSIDE BANCSHARES INC
SCHL,SCHOLASTIC CORP
SCHN,SCHNITZER STEEL INDS
SCL,STEPAN CO
SCLN,SCICLONE PHARMACEUTICALS
SCMP,SUCAMPO PHARMA
SCS,STEELCASE INC
SCSC,SCANSOURCE INC
SCSS,SELECT COMFORT CORP
SCVL,SHOE CARNIVAL INC
SCWX,SECUREWORKS CORP
SD,SANDRIDGE ENERGY INC
SEAS,SEAWORLD ENTMT INC
SELB,SELECTA BIOSCIENCES INC
SEM,SELECT MEDICAL HOLDINGS
SEMG,SEMGROUP CORP
SENEA,SENECA FOODS CORP
SF,STIFEL FINANCIAL CORP
SFBS,SERVISFIRST BANCSHARES
SFE,SAFEGUARD SCIENTIFICS
SFL,SHIP FINANCE INTL
SFLY,SHUTTERFLY INC
SFNC,SIMMONS FIRST NATIONAL
SFR,COLONY STARWOOD HOMES
SFS,SMART & FINAL STORES INC
SFST,SOUTHERN FIRST BANCSHARE
SGA,SAGA COMMUNICATIONS INC
SGBK,STONEGATE BANK
SGC,SUPERIOR UNIFORM GROUP
SGMO,SANGAMO THERAPEUTICS INC
SGMS,SCIENTIFIC GAMES CORP
SGRY,SURGERY PARTNERS INC
SGY,STONE ENERGY CORP
SGYP,SYNERGY PHARMACEUTICALS
SHAK,SHAKE SHACK INC
SHBI,SHORE BANCSHARES INC
SHEN,SHENANDOAH TELECOMM CO
SHLD,SEARS HOLDINGS CORP
SHLM,SCHULMAN A INC
SHLO,SHILOH INDUSTRIES INC
SHO,SUNSTONE HOTEL INVS INC
SHOO,MADDEN STEVEN LTD
SHOR,SHORETEL INC
SIEN,SIENTRA INC
SIFI,SI FINANCIAL GROUP
SIGI,SELECTIVE INSURANCE GRP
SIGM,SIGMA DESIGNS INC
SIR,SELECT INCOME REIT
SITE,SITEONE LANDSCAPE SUPPLY
SJI,SOUTH JERSEY INDUSTRIES
SJW,SJW GROUP
SKYW,SKYWEST INC
SLAB,SILICON LABORATORIES INC
SLCA,U S SILICA HLDGS INC
SLD,SUTHERLAND ASSET MGMT
SLP,SIMULATIONS PLUS INC
SMBC,SOUTHERN MO BANCORP INC
SMBK,SMARTFINANCIAL INC
SMCI,SUPER MICRO COMPUTER INC
SMHI,SEACOR MARINE HOLDINGS
SMMF,SUMMIT FINANCIAL GROUP
SMP,STANDARD MOTOR PRODUCTS
SMTC,SEMTECH CORP
SN,SANCHEZ ENERGY CORP
SNBC,SUN BANCORP INC NJ
SNC,STATE NATIONAL COMPANIES
SNCR,SYNCHRONOSS TECHNOLOGY
SND,SMART SAND INC
SNDR,SCHNEIDER NATIONAL INC
SNDX,SYNDAX PHARMACEUTICALS
SNHY,SUN HYDRAULICS CORP
SNOW,INTRAWEST RSRTS HLDG INC
SNR,NEW SR INVT GROUP INC
SNX,SYNNEX CORP
SOI,SOLARIS OILFIELD
SONA,SOUTHERN NATL BANCORP
SONC,SONIC CORP
SONS,SONUS NETWORKS INC
SP,SP PLUS CORPORATION
SPA,SPARTON CORP
SPAR,SPARTAN MOTORS INC
SPKE,SPARK ENERGY INC
SPN,SUPERIOR ENERGY SERVICES
SPNC,SPECTRANETICS CORP
SPOK,SPOK HOLDINGS INC
SPPI,SPECTRUM PHARMACEUTICALS
SPSC,SPS COMM INC
SPTN,SPARTANNASH COMPANY
SPWH,SPORTSMANS WHSE HLDGS
SPWR,SUNPOWER CORP
SPXC,SPX CORP
SQBG,SEQUENTIAL BRANDS GROUP
SR,SPIRE INC
SRCE,1ST SOURCE CORP
SRCI,SRC ENERGY INC
SRDX,SURMODICS INC
SREV,SERVICESOURCE INTL
SRG,SERITAGE GROWTH PROP
SRI,STONERIDGE INC
SRPT,SAREPTA THERAPEUTICS INC
SRT,STARTEK INC
SSB,SOUTH STATE CORPORATION
SSD,SIMPSON MANUFACTURING
SSNI,SILVER SPRING NETWORKS
SSP,SCRIPPS E W CO
SSTK,SHUTTERSTOCK INC
SSYS,STRATASYS LTD
STAA,STAAR SURGICAL CO
STAG,STAG INDL INC
STAR,ISTAR INC
STBA,S & T BANCORP INC
STBZ,STATE BK FINL CORP
STC,STEWART INFORMATION
STFC,STATE AUTO FINANCIAL
STL,STERLING BANCORP
STML,STEMLINE THERAPEUTICS
STMP,STAMPS COM INC
STNG,SCORPIO TANKERS INC
STRA,STRAYER EDUCATION INC
STRL,STERLING CONSTRUCTION CO
STRP,STRAIGHT PATH COMM INC
STRS,STRATUS PPTYS INC
STS,SUPREME INDS INC
SUM,SUMMIT MATLS INC
SUP,SUPERIOR INDUSTRIES INTL
SUPN,SUPERNUS PHARMACEUTICALS
SVU,SUPERVALU INC
SWFT,SWIFT TRANSN CO
SWM,SCHWEITZER-MAUDUIT INTL
SWX,SOUTHWEST GAS HOLDINGS
SXC,SUNCOKE ENERGY INC
SXI,STANDEX INTERNATIONAL
SXT,SENSIENT TECHNOLOGIES
SYBT,STOCK YARDS BANCORP INC
SYKE,SYKES ENTERPRISES INC
SYNA,SYNAPTICS INC
SYNT,SYNTEL INC
SYRS,SYROS PHARMACEUTICALS
SYX,SYSTEMAX INC
TACO,DEL TACO RESTAURANTS INC
TAST,CARROLS RESTAURANT GRP
TAX,LIBERTY TAX INC
TBBK,BANCORP INC
TBI,TRUEBLUE INC
TBK,TRIUMPH BANCORP INC
TBNK,TERRITORIAL BANCORP INC
TBPH,THERAVANCE BIOPHARMA INC
TCBI,TEXAS CAPITAL BANCSHARES
TCBK,TRICO BANCSHARES
TCFC,COMMUNITY FINL CORP MD
TCI,TRANSCONTINENTAL REALTY
TCMD,TACTILE SYSTEMS TECH
TCS,THE CONTAINER STORE GRP
TCX,TUCOWS INC
TDOC,TELADOC INC
TECD,TECH DATA CORP
TELL,TELLURIAN INC
TEN,TENNECO INC
TERP,TERRAFORM POWER INC
TESO,TESCO CORP
TG,TREDEGAR CORP
TGH,TEXTAINER GROUP HLDGS
TGI,TRIUMPH GROUP INC
TGTX,TG THERAPEUTICS INC
THC,TENET HEALTHCARE CORP
THFF,FIRST FINANCIAL CORP
THR,THERMON GROUP HLDGS INC
THRM,GENTHERM INC
TIER,TIER REIT INC
TILE,INTERFACE INC
TIME,TIME INC
TIPT,TIPTREE INC
TIS,ORCHIDS PAPER PRODS COMP
TISI,TEAM INC
TITN,TITAN MACHINERY INC
TIVO,TIVO CORPORATION
TK,TEEKAY CORP
TLGT,TELIGENT INC
TLRD,TAILORED BRANDS INC
TLYS,TILLYS INC
TMHC,TAYLOR MORRISON HOME
TMP,TOMPKINS FINANCIAL CORP
TMST,TIMKENSTEEL CORPORATION
TNAV,TELENAV INC
TNC,TENNANT CO
TNET,TRINET GROUP INC
TNK,TEEKAY TANKERS LTD
TOCA,TOCAGEN INC
TOWN,TOWNEBANK PORTSMOUTH VA
TOWR,TOWER INTERNATIONAL INC
TPB,TURNING POINT BRANDS INC
TPC,TUTOR PERINI CORP
TPH,TRI POINTE GROUP INC
TPHS,TRINITY PLACE HOLDINGS
TPIC,TPI COMPOSITES INC
TPRE,THIRD POINT REINSURANCE
TR,TOOTSIE ROLL INDUSTRIES
TRC,TEJON RANCH CO
TRCB,TWO RIVER BANCORP
TREC,TRECORA RESOURCES
TREE,LENDINGTREE INC
TREX,TREX INC
TRHC,TABULA RASA HEALTHCARE
TRK,SPEEDWAY MOTORSPORTS INC
TRMK,TRUSTMARK CORP
TRNC,TRONC INC
TRNO,TERRENO REALTY CORP
TROX,TRONOX LTD
TRS,TRIMAS CORP
TRST,TRUSTCO BANK CORP NY
TRTN,TRITON INTERNATIONAL LTD
TRUE,TRUECAR INC
TRUP,TRUPANION INC
TRVN,TREVENA INC
TSBK,TIMBERLAND BANCORP INC
TSC,TRISTATE CAP HLDGS INC
TSE,TRINSEO SA
TSQ,TOWNSQUARE MEDIA INC
TTD,THE TRADE DESK INC
TTEC,TELETECH HOLDINGS INC
TTEK,TETRA TECH INC
TTGT,TECHTARGET INC
TTI,TETRA TECHNOLOGIES INC
TTMI,TTM TECHNOLOGIES INC
TTPH,TETRAPHASE PHARMA INC
TTS,TILE SHOP HLDGS INC
TUSK,MAMMOTH ENERGY SERVICES
TVPT,TRAVELPORT WORLDWIDE LTD
TVTY,TIVITY HEALTH INC
TWI,TITAN INTERNATIONAL INC
TWIN,TWIN DISC INC
TWLO,TWILIO INC
TWNK,HOSTESS BRANDS INC
TWOU,2U INC
TXMD,THERAPEUTICSMD INC
TXRH,TEXAS ROADHOUSE INC
TYPE,MONOTYPE IMAGING HLDG
UBA,URSTADT BIDDLE PPTYS INS
UBFO,UNITED SECURITY BANC
UBNK,UNITED FINANCIAL BANCORP
UBNT,UBIQUITI NETWORKS INC
UBSH,UNION BANKSHARES CORP
UBSI,UNITED BANKSHARES INC
UCBI,UNITED COMMUNITY BANKS
UCFC,UNITED CMNTY FINL CO
UCP,UCP INC
UCTT,ULTRA CLEAN HOLDINGS INC
UE,URBAN EDGE PROPERTIES
UEC,URANIUM ENERGY CORP
UEIC,UNIVERSAL ELECTRONICS
UFCS,UNITED FIRE GROUP INC
UFI,UNIFI INC
UFPI,UNIVERSAL FOREST PRODS
UFPT,UFP TECHNOLOGIES INC
UHT,UNIVERSAL HEALTH REALTY
UIHC,UNITED INS HLDGS CORP
UIS,UNISYS CORP
ULH,UNIVERSAL LOGISTICS HLDG
UMBF,UMB FINANCIAL CORP
UMH,UMH PROPERTIES INC
UMPQ,UMPQUA HOLDINGS CORP
UNB,UNION BANKSHARES INC
UNF,UNIFIRST CORP MASS
UNFI,UNITED NATURAL FOODS INC
UNT,UNIT CORP
UNTY,UNITY BANCORP INC
UPL,ULTRA PETROLEUM CORP
UPLD,UPLAND SOFTWARE INC
USAT,USA TECHNOLOGIES INC
USCR,U S CONCRETE INC
USLM,UNITED STATES LIME & MIN
USNA,USANA HEALTH SCIENCES
USPH,U S PHYSICAL THERAPY INC
UTL,UNITIL CORP
UTMD,UTAH MED PRODS INC
UVE,UNIVERSAL INSURANCE
UVSP,UNIVEST CORP OF PENN
UVV,UNIVERSAL CORP
VAC,MARRIOTT VAC WORLD CORP
VALU,VALUE LINE INC
VBIV,VBI VACCINES INC
VBTX,VERITEX HOLDINGS
VCRA,VOCERA COMMUNICATIONS
VCYT,VERACYTE INC
VDSI,VASCO DATA SECURITY INTL
VEC,VECTRUS INC
VECO,VEECO INSTRUMENTS INC
VERI,VERITONE INC
VG,VONAGE HLDGS CORP
VGR,VECTOR GROUP LTD
VHC,VIRNETX HOLDING CORP
VHI,VALHI INC
VIAV,VIAVI SOLUTIONS INC
VICR,VICOR CORP
VIRT,VIRTU FINL INC
VIVE,VIVEVE MEDICAL INC
VIVO,MERIDIAN BIOSCIENCE INC
VLGEA,VILLAGE SUPER MARKET INC
VLY,VALLEY NATIONAL BANCORP
VNDA,VANDA PHARMACEUTICALS
VOXX,VOXX INTERNATIONAL CORP
VPG,VISHAY PRECISION GROUP
VRA,VERA BRADLEY INC
VRAY,VIEWRAY INC
VREX,VAREX IMAGING
VRNS,VARONIS SYSTEMS INC
VRNT,VERINT SYS INC
VRS,VERSO CORPORATION
VRTS,VIRTUS INVESTMENT PTNRS
VRTU,VIRTUSA CORP
VRTV,VERITIV CORPORATION
VSAR,VERSARTIS INC
VSAT,VIASAT INC
VSEC,VSE CORP
VSH,VISHAY INTERTECHNOLOGY
VSI,VITAMIN SHOPPE INC
VSLR,VIVINT SOLAR INC
VSTO,VISTA OUTDOOR INC
VTVT,VTV THERAPEAUTICS INC
VVI,VIAD CORP
VYGR,VOYAGER THERAPEUTICS INC
WAAS,AQUAVENTURE HOLDINGS LTD
WABC,WESTAMERICA BANCORP
WAFD,WASHINGTON FED INC
WAGE,WAGEWORKS INC
WAIR,WESCO AIRCRAFT HLDGS INC
WASH,WASHINGTON TRUST BANCORP
WATT,ENERGOUS CORP
WBMD,WEBMD HEALTH CORP
WD,WALKER & DUNLOP INC
WDFC,WD-40 CO
WDR,WADDELL & REED FINANCIAL
WEB,WEB.COM GROUP INC
WERN,WERNER ENTERPRISES INC
WETF,WISDOMTREE INVTS INC
WEYS,WEYCO GROUP INC
WFBI,WASHINGTONFIRST BANK INC
WG,WILLBROS GROUP INC
WGL,WGL HOLDINGS INC
WGO,WINNEBAGO INDUSTRIES INC
WHG,WESTWOOD HOLDINGS GROUP
WIFI,BOINGO WIRELESS INC
WIN,WINDSTREAM HOLDINGS INC
WINA,WINMARK CORP
WING,WINGSTOP INC
WINS,WINS FINANCE HOLDINGS
WIRE,ENCORE WIRE CORP
WK,WORKIVA INC
WLB,WESTMORELAND COAL CO
WLDN,WILLDAN GROUP INC
WLFC,WILLIS LEASE FINANCE
WLH,WILLIAM LYON HOMES
WMAR,WEST MARINE INC
WMC,WESTERN ASSET MTG CAP
WMGI,WRIGHT MEDICAL GROUP N V
WMIH,WMIH CORP
WMK,WEIS MARKETS INC
WMS,ADVANCED DRAINAGE SYSTEM
WNC,WABASH NATIONAL CORP
WNEB,WESTERN NEW ENGLAND
WOR,WORTHINGTON INDUSTRIES
WPG,WASHINGTON PRIME GROUP
WRD,WILDHORSE RESOURCE DEV
WRE,WASHINGTON REAL ESTATE
WRLD,WORLD ACCEPTANCE CORP
WSBC,WESBANCO INC
WSBF,WATERSTONE FINANCIAL INC
WSFS,WSFS FINANCIAL CORP
WSR,WHITESTONE REIT
WSTC,WEST CORP
WTBA,WEST BANCORPORATION INC
WTFC,WINTRUST FINANCIAL CORP
WTI,W&T OFFSHORE INC
WTS,WATTS WATER TECH INC
WTTR,SELECT ENERGY SERVICES
WTW,WEIGHT WATCHERS INTL INC
WVE,WAVE LIFE SCIENCES LTD
WWD,WOODWARD INC
WWE,WORLD WRESTLING ENTMNT
WWW,WOLVERINE WORLD WIDE
XBIT,XBIOTECH INC
XBKS,XENITH BANKSHARES INC
XCRA,XCERRA CORPORATION
XENT,INTERSECT ENT INC
XHR,XENIA HOTELS & RESORTS
XLRN,ACCELERON PHARMA INC
XNCR,XENCOR INC
XONE,EXONE COMPANY
XOXO,XO GROUP INC
XPER,XPERI CORPORATION
XTLY,XACTLY CORP
YELP,YELP INC
YEXT,YEXT INC
YORW,YORK WATER COMPANY
YRCW,YRC WORLDWIDE INC
ZAGG,ZAGG INC 
ZEN,ZENDESK INC
ZEUS,OLYMPIC STEEL INC
ZGNX,ZOGENIX INC
ZIOP,ZIOPHARM ONCOLOGY INC
ZIXI,ZIX CORP 
ZOES,ZOES KITCHEN INC
ZUMZ,ZUMIEZ INC
ZYNE,ZYNERBA PHARMACEUTICALS
